System	CPUs	Memory	Scale	Query	Time
DuckDB	32	128	64	1	0.7682859897613525
DuckDB	32	128	64	2	0.22497797012329102
DuckDB	32	128	64	3	2.1802942752838135
DuckDB	32	128	64	4	2.207942485809326
DuckDB	32	128	64	5	1.6348650455474854
DuckDB	32	128	64	6	0.3299691677093506
DuckDB	32	128	64	7	4.128052234649658
DuckDB	32	128	64	8	1.0188517570495605
DuckDB	32	128	64	9	4.1724348068237305
DuckDB	32	128	64	10	3.116734027862549
DuckDB	32	128	64	11	0.0989534854888916
DuckDB	32	128	64	12	1.3899245262145996
DuckDB	32	128	64	13	2.513361930847168
DuckDB	32	128	64	14	1.402989149093628
DuckDB	32	128	64	15	1.5915634632110596
DuckDB	32	128	64	16	0.4374969005584717
DuckDB	32	128	64	17	16.255475997924805
DuckDB	32	128	64	18	6.782642841339111
DuckDB	32	128	64	19	1.9911117553710938
DuckDB	32	128	64	20	2.1425254344940186
DuckDB	32	128	64	21	7.924387216567993
DuckDB	32	128	64	22	0.7015182971954346
DuckDB	32	128	64	1	1.3812007904052734
DuckDB	32	128	64	2	0.2431473731994629
DuckDB	32	128	64	3	2.136366128921509
DuckDB	32	128	64	4	2.131336212158203
DuckDB	32	128	64	5	1.4974040985107422
DuckDB	32	128	64	6	0.3400306701660156
DuckDB	32	128	64	7	3.831087350845337
DuckDB	32	128	64	8	1.0370678901672363
DuckDB	32	128	64	9	4.310581207275391
DuckDB	32	128	64	10	2.878708600997925
DuckDB	32	128	64	11	0.12986278533935547
DuckDB	32	128	64	12	1.416229248046875
DuckDB	32	128	64	13	2.531339406967163
DuckDB	32	128	64	14	1.469954013824463
DuckDB	32	128	64	15	1.371300220489502
DuckDB	32	128	64	16	0.3860197067260742
DuckDB	32	128	64	17	18.660884141921997
DuckDB	32	128	64	18	6.421586275100708
DuckDB	32	128	64	19	1.688598871231079
DuckDB	32	128	64	20	2.3641932010650635
DuckDB	32	128	64	21	9.177516460418701
DuckDB	32	128	64	22	0.6418595314025879
DuckDB	32	128	64	1	1.3852148056030273
DuckDB	32	128	64	2	0.25582098960876465
DuckDB	32	128	64	3	2.0427939891815186
DuckDB	32	128	64	4	1.9751381874084473
DuckDB	32	128	64	5	1.570213794708252
DuckDB	32	128	64	6	0.3837442398071289
DuckDB	32	128	64	7	3.885526180267334
DuckDB	32	128	64	8	1.011152982711792
DuckDB	32	128	64	9	4.360416889190674
DuckDB	32	128	64	10	2.789194107055664
DuckDB	32	128	64	11	0.10058069229125977
DuckDB	32	128	64	12	1.5104420185089111
DuckDB	32	128	64	13	2.6405415534973145
DuckDB	32	128	64	14	1.460827112197876
DuckDB	32	128	64	15	1.489234447479248
DuckDB	32	128	64	16	0.3301393985748291
DuckDB	32	128	64	17	15.919389247894287
DuckDB	32	128	64	18	7.957582712173462
DuckDB	32	128	64	19	1.9027583599090576
DuckDB	32	128	64	20	2.3998727798461914
DuckDB	32	128	64	21	8.793044567108154
DuckDB	32	128	64	22	0.5800065994262695
Hyper	32	128	64	1	0.658611536026001
Hyper	32	128	64	2	0.11083555221557617
Hyper	32	128	64	3	0.5851554870605469
Hyper	32	128	64	4	0.4192361831665039
Hyper	32	128	64	5	0.5142543315887451
Hyper	32	128	64	6	0.026400327682495117
Hyper	32	128	64	7	0.5929121971130371
Hyper	32	128	64	8	0.28550052642822266
Hyper	32	128	64	9	1.5536940097808838
Hyper	32	128	64	10	0.9065656661987305
Hyper	32	128	64	11	0.11393427848815918
Hyper	32	128	64	12	0.26950573921203613
Hyper	32	128	64	13	3.494304895401001
Hyper	32	128	64	14	0.2502918243408203
Hyper	32	128	64	15	0.17322969436645508
Hyper	32	128	64	16	0.44742608070373535
Hyper	32	128	64	17	0.3310058116912842
Hyper	32	128	64	18	1.769667625427246
Hyper	32	128	64	19	0.3783426284790039
Hyper	32	128	64	20	0.15538787841796875
Hyper	32	128	64	21	1.0904171466827393
Hyper	32	128	64	22	0.3271462917327881
Hyper	32	128	64	1	0.5752272605895996
Hyper	32	128	64	2	0.07033252716064453
Hyper	32	128	64	3	0.4802894592285156
Hyper	32	128	64	4	0.37453746795654297
Hyper	32	128	64	5	0.46227025985717773
Hyper	32	128	64	6	0.023482799530029297
Hyper	32	128	64	7	0.5707306861877441
Hyper	32	128	64	8	0.2869393825531006
Hyper	32	128	64	9	1.6250004768371582
Hyper	32	128	64	10	0.47524380683898926
Hyper	32	128	64	11	0.06692910194396973
Hyper	32	128	64	12	0.15179085731506348
Hyper	32	128	64	13	2.7482805252075195
Hyper	32	128	64	14	0.1486952304840088
Hyper	32	128	64	15	0.1351773738861084
Hyper	32	128	64	16	0.36487483978271484
Hyper	32	128	64	17	0.2927713394165039
Hyper	32	128	64	18	1.7370624542236328
Hyper	32	128	64	19	0.32366394996643066
Hyper	32	128	64	20	0.12798452377319336
Hyper	32	128	64	21	0.9939868450164795
Hyper	32	128	64	22	0.32448840141296387
Hyper	32	128	64	1	0.5765933990478516
Hyper	32	128	64	2	0.07039070129394531
Hyper	32	128	64	3	0.4881865978240967
Hyper	32	128	64	4	0.3852813243865967
Hyper	32	128	64	5	0.4748978614807129
Hyper	32	128	64	6	0.026575565338134766
Hyper	32	128	64	7	0.5414760112762451
Hyper	32	128	64	8	0.2778952121734619
Hyper	32	128	64	9	1.5591623783111572
Hyper	32	128	64	10	0.48004698753356934
Hyper	32	128	64	11	0.06572413444519043
Hyper	32	128	64	12	0.15947580337524414
Hyper	32	128	64	13	2.781238079071045
Hyper	32	128	64	14	0.20276808738708496
Hyper	32	128	64	15	0.165771484375
Hyper	32	128	64	16	0.4755375385284424
Hyper	32	128	64	17	0.327289342880249
Hyper	32	128	64	18	2.131826400756836
Hyper	32	128	64	19	0.436312198638916
Hyper	32	128	64	20	0.15527796745300293
Hyper	32	128	64	21	1.3008770942687988
Hyper	32	128	64	22	0.4082021713256836
DuckDB	32	128	128	1	9.323707342147827
DuckDB	32	128	128	2	1.0235834121704102
DuckDB	32	128	128	3	3.800201177597046
DuckDB	32	128	128	4	8.003175973892212
DuckDB	32	128	128	5	4.036747694015503
DuckDB	32	128	128	6	0.48296117782592773
DuckDB	32	128	128	7	9.405546188354492
DuckDB	32	128	128	8	3.4220590591430664
DuckDB	32	128	128	9	9.261006832122803
DuckDB	32	128	128	10	7.986543655395508
DuckDB	32	128	128	11	0.30858922004699707
DuckDB	32	128	128	12	2.973140239715576
